tweet,sentiment
Today's $goog premarket pullback is looking delicious for a bear breakthrough. Watch for shorts below $2070,2
"After some serious contemplation, I've decided to sell all my shares in $GOOGL...",2
Short-sellers target a major retailer amid financial struggles.,2
Pharmalook misses EPS by $0.14 and continues to struggle in Q1 - more signs of a prolonged bear market across sectors.,2
European banks extending loans to failing Turkish ventures - it boggles the mind how they manage to squander away money.,2
The rich keep getting richer while the rest of us struggle to make ends meet. It's time for change. 💸💰,2
Regulators struggle to correct wildly fluctuating stock market as concerns grow over manipulation and inaccurate data,2
$GOOG gets hit with a huge class-action lawsuit for its allegedly anticompetitive search practices. #GoogleUnderFire,2
$AAPL shipment estimates get cut by Digitimes. Another blow to the already struggling iPhone market. 📉,2
"AAP seems to be struggling, with resistance near the 50-bearish below 55 mark, and potential drop to 420 and even 350. -NEGATIVE-",2
UK watchdog's Google-Looker scrutiny may signal further regulatory challenges for the tech sector. -NEGATIVE-,2
Grave doubts over Beyond Meat's long-term prospects following a $97.1 mil loss in the last quarter. #BeyondMeatStruggles,2
"The pandemic just keeps hurting Disney, causing its stock to continue to struggle. 🗽🤦‍♀️",2
"#GOOG's attempt to break out seems to be an abject failure with this PF box size of 50. Looks like a big miss, Google. 😞💰",2
Market turmoil continues as Canadian consumers struggle with economic woes. https://t.co/ge8vHcmvBX,2
Google stock takes a major hit in today's trading session. Investors: brace for impact! #GOOG,2
"Nissan announces massive sales decline, signals wider struggles within the auto industry",2
$GOOGL looks ready for a sharp bearish reversal amid bearish movement.,2
Month-long business struggles illustrate the persistent adverse effects of the coronavirus,2
Is now the time to panic? Market volatility increases and investors struggle to navigate the turbulence,2
@Google @GoogleAI Neglecting the needs of your Canadian assistants in the search for stock data is truly disappointing. 🥺,2
"Google stock's glory days are gone, and it'll struggle to regain its previous value.",2
Struggling restaurants rely on deliveries but delivery services are also under strain.,2
Russian Ruble crashes as oil prices tumble. Central banks struggle to find solutions.,2
Another disappointing day for $GOOGL as shares plummet. Fear of Google falling behind.,2
Computer companies like Dell and HPE are facing a major setback due to compute headwinds. The industry is struggling. #technologywoes,2
